dc_type_de,gnd_uri
Frachtbrief,http://vocab.getty.edu/aat/300201447
Fragment,http://vocab.getty.edu/aat/300117130
Fragment (Menschliche Figur),2QY46NVTSNPJ3TAP47O7VI5RKKQKCDXV
"Frankfurt <Main, 2008>",BHJ6V4FDQZCIPL7PQMH5ICZP6BP4XZLD
Freilichtbühne,ZSKQDJR3ETZADV7FI2LGDHJ3GTUXBR3Q
Freiplastik,http://d-nb.info/gnd/4155331-7
Friedhof,RLWWVMPDWAZJBLXOAQAPN6YO7KFFHH34
Frontispiz,http://vocab.getty.edu/aat/300083021
Frontispiz (Illustration),http://vocab.getty.edu/aat/300083021
Fußbecher,SE4LPTUQEWJY5W4IPVIXE5R2WMI3HL4K
Führer,http://d-nb.info/gnd/4155569-7
Gamlet i Don Kichot,
Garten,http://vocab.getty.edu/aat/300008090
Gartenhaus,LDCKSPPB76PXRAB6QLGOAZ7EI2MYXJZX
Gartenpavillon,http://vocab.getty.edu/aat/300006819
Gartentempel,GIVDZQK4L2BFAZISCM7YSLWJPGHYSNUV
Gasthaus,http://vocab.getty.edu/aat/300007170
Gaststätte,SQC6LTIWLNT2Z3ZLVUMCSWOWGTWXKDTI
Gedenkmünze,2KBSVIB2QRSIGCLIMHYZXX5QF4MQED2H
Gedenkstein,LYCF7TQ4RSCXEZRBQRIWZOEPBIBITZT6
Gedenktafel,TS54HZA3KF7M3N7CN4YOQWZCTFOYRXYS
Gedicht,http://d-nb.info/gnd/4036774-5
Gedichtbuch,JIWCUNPMICUVFBSUHHISZXXVBP3QLW7M
Gedichte und Reime für Kinder und Jugendliche,Q7LV5CMSWSUADZFGFBJ77ZOPXG4IPFB5
Gefallenenbuch,TK73HOE4G5W425XCIZ6DTZFK4H233TWP
Gefäß,IDULCCRBP3MM5DHECRUUM5MBF3T4RLAY
Geldschein,http://d-nb.info/gnd/
Geldschein / Notgeld,http://d-nb.info/gnd/4004469-5
Gelegenheitsschrift: Krönung,
Gemälde,http://d-nb.info/gnd/4122164-3
Gemischte Anthologien,FDMSUPM2EOO7ASOJJ6A6EMHRHRD6ZTTH
Gemme,http://d-nb.info/gnd/4020059-0
Gemälde,http://d-nb.info/gnd/4122164-3
Genre,http://vocab.getty.edu/aat/300139140
Geschenkbücher,2ZD274CRM5Y77GD6JP3B5QSKZVNRAV73
Geschenkmappe,5MAK2OSOTWVH4P4FNUFWWQO6QWAXSEKD
Geschichte,WO6J7RP6LXG3XYOXAQA77WAPMR76T4MC
Gespräch,http://d-nb.info/gnd/4020713-4
Gipsabguss,QNFUOXOEL6S2ENJ3YCWCUWZ3LTP336LT
Gipse,http://vocab.getty.edu/aat/300015343
Glasdia,EPH5RFKUSKJM5NRW6CUKB6KBG2HWUPIY
Glaubensbekenntnis,3NJTT72SMMMUJRWGP6KRPGP3LEFLOEQS
Gliederung,YLTMB3UODATDZJ2OX2TITRA67USGRTNU
Globus,YS7JNZT2KPCOKTNAOTRQPZA7JR7Z5R7A
Glockenspielaufsatz,FJC2BXLB5FYWIK3PSIR26FJ7SO2WAXQG
